strategy,puzzle_file,runtime,backtracks,max_depth,recursive_calls
1,puzzles\puzzle_101.cnf,1.4229252338409424,0,0,1
2,puzzles\puzzle_101.cnf,1.4534695148468018,0,0,1
3,puzzles\puzzle_101.cnf,2.34554386138916,0,0,1
1,puzzles\puzzle_1010.cnf,1.5000114440917969,0,0,4
2,puzzles\puzzle_1010.cnf,1.5007588863372803,0,0,2
3,puzzles\puzzle_1010.cnf,3.562969446182251,6,0,39
1,puzzles\puzzle_1011.cnf,1.6105570793151855,9,0,29
2,puzzles\puzzle_1011.cnf,1.5938770771026611,5,0,27
3,puzzles\puzzle_1011.cnf,15.015085220336914,50,0,145
1,puzzles\puzzle_102.cnf,1.4380576610565186,0,0,1
2,puzzles\puzzle_102.cnf,1.4224448204040527,0,0,1
3,puzzles\puzzle_102.cnf,2.281510353088379,0,0,1
1,puzzles\puzzle_103.cnf,1.4831335544586182,5,0,13
2,puzzles\puzzle_103.cnf,1.5472910404205322,0,0,2
3,puzzles\puzzle_103.cnf,8.221311330795288,6,0,60
1,puzzles\puzzle_104.cnf,1.5013375282287598,0,0,2
2,puzzles\puzzle_104.cnf,2.5900349617004395,0,0,3
3,puzzles\puzzle_104.cnf,3.8449418544769287,0,0,24
1,puzzles\puzzle_105.cnf,1.4848113059997559,0,0,1
2,puzzles\puzzle_105.cnf,1.4690933227539062,0,0,1
3,puzzles\puzzle_105.cnf,1.4382812976837158,0,0,1
1,puzzles\puzzle_106.cnf,1.4225540161132812,0,0,1
2,puzzles\puzzle_106.cnf,1.4544320106506348,0,0,1
3,puzzles\puzzle_106.cnf,1.4850554466247559,0,0,1
1,puzzles\puzzle_107.cnf,2.3222568035125732,0,0,1
2,puzzles\puzzle_107.cnf,1.5477852821350098,0,0,1
3,puzzles\puzzle_107.cnf,1.4222512245178223,0,0,1
1,puzzles\puzzle_108.cnf,1.5478920936584473,0,0,8
2,puzzles\puzzle_108.cnf,1.579559087753296,7,0,22
3,puzzles\puzzle_108.cnf,50.09677171707153,168,0,366
1,puzzles\puzzle_109.cnf,1.610121726989746,2,0,14
2,puzzles\puzzle_109.cnf,2.6638500690460205,20,0,48
3,puzzles\puzzle_109.cnf,55.01966404914856,165,0,358
1,puzzles\puzzle_11.cnf,1.4224607944488525,0,0,4
2,puzzles\puzzle_11.cnf,2.0634098052978516,8,0,27
3,puzzles\puzzle_11.cnf,18.794081687927246,65,0,144
1,puzzles\puzzle_110.cnf,1.4849460124969482,0,0,1
2,puzzles\puzzle_110.cnf,1.4223079681396484,0,0,1
3,puzzles\puzzle_110.cnf,1.500349998474121,0,0,1
1,puzzles\puzzle_111.cnf,1.5633759498596191,1,0,6
2,puzzles\puzzle_111.cnf,1.5162534713745117,0,0,4
3,puzzles\puzzle_111.cnf,2.266648530960083,5,0,26
1,puzzles\puzzle_112.cnf,2.3294458389282227,0,0,1
2,puzzles\puzzle_112.cnf,1.5788743495941162,0,0,1
3,puzzles\puzzle_112.cnf,1.4540083408355713,0,0,1
1,puzzles\puzzle_113.cnf,1.4692647457122803,0,0,3
2,puzzles\puzzle_113.cnf,1.5007591247558594,1,0,7
3,puzzles\puzzle_113.cnf,14.145261526107788,41,0,98
1,puzzles\puzzle_114.cnf,1.4225432872772217,0,0,1
2,puzzles\puzzle_114.cnf,1.4531874656677246,0,0,1
3,puzzles\puzzle_114.cnf,1.454397201538086,0,0,1
1,puzzles\puzzle_115.cnf,1.501168966293335,2,0,7
2,puzzles\puzzle_115.cnf,1.469717025756836,0,0,4
3,puzzles\puzzle_115.cnf,4.549112796783447,0,0,16
1,puzzles\puzzle_116.cnf,1.5159733295440674,0,0,2
2,puzzles\puzzle_116.cnf,1.468942403793335,0,0,2
3,puzzles\puzzle_116.cnf,1.6408896446228027,0,0,17
1,puzzles\puzzle_117.cnf,1.4544012546539307,0,0,3
2,puzzles\puzzle_117.cnf,1.4694128036499023,0,0,4
3,puzzles\puzzle_117.cnf,1.6410424709320068,0,0,8
1,puzzles\puzzle_118.cnf,1.4541516304016113,0,0,1
2,puzzles\puzzle_118.cnf,2.6037192344665527,0,0,1
3,puzzles\puzzle_118.cnf,1.8597660064697266,0,0,1
1,puzzles\puzzle_119.cnf,1.5161464214324951,2,0,12
2,puzzles\puzzle_119.cnf,1.4690041542053223,0,0,7
3,puzzles\puzzle_119.cnf,1.7823395729064941,0,0,10
1,puzzles\puzzle_12.cnf,1.4385099411010742,0,0,1
2,puzzles\puzzle_12.cnf,1.4696979522705078,0,0,1
3,puzzles\puzzle_12.cnf,1.407498836517334,0,0,1
1,puzzles\puzzle_120.cnf,1.453761100769043,0,0,6
2,puzzles\puzzle_120.cnf,1.579016923904419,0,0,5
3,puzzles\puzzle_120.cnf,3.251664876937866,0,0,10
1,puzzles\puzzle_121.cnf,1.5326619148254395,1,0,6
2,puzzles\puzzle_121.cnf,1.5160958766937256,0,0,5
3,puzzles\puzzle_121.cnf,2.0480802059173584,0,0,10
1,puzzles\puzzle_122.cnf,1.5003077983856201,0,0,4
2,puzzles\puzzle_122.cnf,1.5316472053527832,8,0,29
3,puzzles\puzzle_122.cnf,22.37030839920044,73,0,184
1,puzzles\puzzle_123.cnf,1.7981300354003906,15,0,43
2,puzzles\puzzle_123.cnf,1.6102313995361328,3,0,14
3,puzzles\puzzle_123.cnf,59.210456132888794,146,0,339
1,puzzles\puzzle_124.cnf,1.3910486698150635,0,0,5
2,puzzles\puzzle_124.cnf,1.4228096008300781,0,0,4
3,puzzles\puzzle_124.cnf,2.3598122596740723,0,0,18
1,puzzles\puzzle_125.cnf,1.4536292552947998,0,0,2
2,puzzles\puzzle_125.cnf,1.62721848487854,5,0,17
3,puzzles\puzzle_125.cnf,15.019100189208984,38,0,105
1,puzzles\puzzle_126.cnf,1.6257028579711914,0,0,7
2,puzzles\puzzle_126.cnf,1.688084363937378,6,0,19
3,puzzles\puzzle_126.cnf,9.674330472946167,0,0,34
1,puzzles\puzzle_127.cnf,1.453533411026001,0,0,1
2,puzzles\puzzle_127.cnf,2.2697741985321045,0,0,1
3,puzzles\puzzle_127.cnf,1.5626864433288574,0,0,1
1,puzzles\puzzle_128.cnf,1.5947661399841309,5,0,23
2,puzzles\puzzle_128.cnf,1.4538052082061768,1,0,6
3,puzzles\puzzle_128.cnf,3.345242500305176,0,0,12
1,puzzles\puzzle_129.cnf,1.453432321548462,0,0,4
2,puzzles\puzzle_129.cnf,1.4384269714355469,0,0,5
3,puzzles\puzzle_129.cnf,5.300843238830566,0,0,22
1,puzzles\puzzle_13.cnf,1.4849681854248047,0,0,2
2,puzzles\puzzle_13.cnf,1.5008823871612549,0,0,2
3,puzzles\puzzle_13.cnf,1.922645092010498,0,0,10
1,puzzles\puzzle_130.cnf,1.531877040863037,0,0,5
2,puzzles\puzzle_130.cnf,1.4858195781707764,0,0,6
3,puzzles\puzzle_130.cnf,32.808836460113525,140,0,306
1,puzzles\puzzle_131.cnf,1.4695656299591064,1,0,8
2,puzzles\puzzle_131.cnf,1.6879475116729736,0,0,2
3,puzzles\puzzle_131.cnf,2.391852855682373,5,0,33
1,puzzles\puzzle_132.cnf,1.5160613059997559,0,0,7
2,puzzles\puzzle_132.cnf,1.4694225788116455,2,0,11
3,puzzles\puzzle_132.cnf,2.1738994121551514,0,0,6
1,puzzles\puzzle_133.cnf,1.4534075260162354,0,0,3
2,puzzles\puzzle_133.cnf,1.4696447849273682,0,0,3
3,puzzles\puzzle_133.cnf,1.923151969909668,0,0,16
1,puzzles\puzzle_134.cnf,2.6490774154663086,1,0,10
2,puzzles\puzzle_134.cnf,1.5937528610229492,0,0,6
3,puzzles\puzzle_134.cnf,5.470083236694336,6,0,26
1,puzzles\puzzle_135.cnf,1.4233949184417725,0,0,1
2,puzzles\puzzle_135.cnf,1.4692273139953613,0,0,1
3,puzzles\puzzle_135.cnf,1.4848825931549072,0,0,1
1,puzzles\puzzle_136.cnf,1.5166852474212646,0,0,1
2,puzzles\puzzle_136.cnf,2.3318889141082764,0,0,1
3,puzzles\puzzle_136.cnf,1.5319318771362305,0,0,1
1,puzzles\puzzle_137.cnf,1.4689888954162598,0,0,2
2,puzzles\puzzle_137.cnf,1.469515323638916,5,0,15
3,puzzles\puzzle_137.cnf,2.501817464828491,6,0,28
1,puzzles\puzzle_138.cnf,1.4541523456573486,0,0,1
2,puzzles\puzzle_138.cnf,1.4534876346588135,0,0,1
3,puzzles\puzzle_138.cnf,1.5163915157318115,0,0,1
1,puzzles\puzzle_139.cnf,1.4854726791381836,0,0,8
2,puzzles\puzzle_139.cnf,2.7200262546539307,0,0,4
3,puzzles\puzzle_139.cnf,2.219820261001587,0,0,12
1,puzzles\puzzle_14.cnf,1.453552007675171,0,0,8
2,puzzles\puzzle_14.cnf,1.5638225078582764,0,0,7
3,puzzles\puzzle_14.cnf,5.345578908920288,0,0,30
1,puzzles\puzzle_140.cnf,1.4691765308380127,0,0,10
2,puzzles\puzzle_140.cnf,2.376461982727051,0,0,3
3,puzzles\puzzle_140.cnf,5.752578973770142,41,0,111
1,puzzles\puzzle_141.cnf,1.4532697200775146,0,0,7
2,puzzles\puzzle_141.cnf,1.5321979522705078,0,0,3
3,puzzles\puzzle_141.cnf,1.9384567737579346,0,0,6
1,puzzles\puzzle_142.cnf,1.5015537738800049,0,0,4
2,puzzles\puzzle_142.cnf,2.642322301864624,0,0,6
3,puzzles\puzzle_142.cnf,23.34810161590576,70,0,167
1,puzzles\puzzle_143.cnf,1.453547477722168,0,0,2
2,puzzles\puzzle_143.cnf,1.4535422325134277,0,0,2
3,puzzles\puzzle_143.cnf,3.023207426071167,0,0,19
1,puzzles\puzzle_144.cnf,1.7924325466156006,0,0,3
2,puzzles\puzzle_144.cnf,1.4689114093780518,0,0,3
3,puzzles\puzzle_144.cnf,2.7197415828704834,0,0,15
1,puzzles\puzzle_145.cnf,1.4695158004760742,0,0,1
2,puzzles\puzzle_145.cnf,1.4847960472106934,0,0,1
3,puzzles\puzzle_145.cnf,1.4539847373962402,0,0,1
1,puzzles\puzzle_146.cnf,1.5009551048278809,2,0,8
2,puzzles\puzzle_146.cnf,1.500518560409546,2,0,10
3,puzzles\puzzle_146.cnf,6.798863887786865,6,0,28
1,puzzles\puzzle_147.cnf,1.4224987030029297,0,0,1
2,puzzles\puzzle_147.cnf,1.4542725086212158,0,0,1
3,puzzles\puzzle_147.cnf,1.4533717632293701,0,0,1
1,puzzles\puzzle_148.cnf,1.5325384140014648,0,0,16
2,puzzles\puzzle_148.cnf,1.532170295715332,3,0,17
3,puzzles\puzzle_148.cnf,4.395803451538086,0,0,22
1,puzzles\puzzle_149.cnf,1.5009186267852783,0,0,6
2,puzzles\puzzle_149.cnf,1.5322096347808838,2,0,10
3,puzzles\puzzle_149.cnf,10.253681659698486,21,0,72
1,puzzles\puzzle_15.cnf,1.8921449184417725,2,0,9
2,puzzles\puzzle_15.cnf,1.5170087814331055,0,0,2
3,puzzles\puzzle_15.cnf,2.1571505069732666,0,0,23
1,puzzles\puzzle_150.cnf,1.500887155532837,0,0,1
2,puzzles\puzzle_150.cnf,1.5011131763458252,0,0,1
3,puzzles\puzzle_150.cnf,1.4386768341064453,0,0,1
1,puzzles\puzzle_151.cnf,1.4852359294891357,0,0,1
2,puzzles\puzzle_151.cnf,1.500974178314209,0,0,1
3,puzzles\puzzle_151.cnf,2.1423068046569824,0,0,1
1,puzzles\puzzle_152.cnf,1.6571331024169922,0,0,6
2,puzzles\puzzle_152.cnf,1.4848012924194336,0,0,3
3,puzzles\puzzle_152.cnf,3.484752893447876,0,0,12
1,puzzles\puzzle_153.cnf,1.532247543334961,1,0,11
2,puzzles\puzzle_153.cnf,1.453610897064209,0,0,5
3,puzzles\puzzle_153.cnf,4.282917737960815,9,0,48
1,puzzles\puzzle_154.cnf,2.638493537902832,0,0,11
2,puzzles\puzzle_154.cnf,1.5787827968597412,1,0,7
3,puzzles\puzzle_154.cnf,11.222122192382812,27,0,87
1,puzzles\puzzle_155.cnf,1.9379825592041016,1,0,5
2,puzzles\puzzle_155.cnf,1.484785795211792,1,0,5
3,puzzles\puzzle_155.cnf,1.4543986320495605,0,0,4
1,puzzles\puzzle_156.cnf,1.453381061553955,0,0,1
